Tx,Ty,Tz,A1x,A1y,A1z,A2x,A2y,A2z
6.959127965921034775e-01,-7.181262977633930955e-01,1.944132455093196417e-13,-7.181262977633930955e-01,-6.959127965921035885e-01,3.310004938264827906e-16,1.350569652177483966e-13,-1.398436117131054947e-13,-1.000000000000000000e+00
7.071067811865506814e-01,-7.071067811865444641e-01,-5.521796321339874355e-14,-7.071067811865444641e-01,-7.071067811865506814e-01,2.115627219734931872e-16,-3.919459366685749634e-14,3.889539879614966333e-14,-1.000000000000000000e+00
7.181262977629320199e-01,-6.959127965925792081e-01,1.944132455090188143e-13,-6.959127965925793191e-01,-7.181262977629321309e-01,3.310209495339868094e-16,1.393829025187467553e-13,-1.355323802257918120e-13,-1.000000000000000000e+00
7.289686274213696970e-01,-6.845471059287332460e-01,-5.521796321337610640e-14,-6.845471059287332460e-01,-7.289686274213696970e-01,2.115874876268199036e-16,-4.039700445496413590e-14,3.764505627256101274e-14,-1.000000000000000000e+00
7.396310949784244970e-01,-6.730125135099768174e-01,1.944132455092982351e-13,-6.730125135099768174e-01,-7.396310949784244970e-01,3.310423920441666501e-16,1.435712859820035421e-13,-1.310873962667569518e-13,-1.000000000000000000e+00
7.501110696304187364e-01,-6.613118653236980116e-01,-5.521796321290525110e-14,-6.613118653236981226e-01,-7.501110696304188474e-01,2.116130391548105765e-16,-4.155954766209576149e-14,3.635756096855355539e-14,-1.000000000000000000e+00
7.604059655999312328e-01,-6.494480483303003426e-01,1.944132455089432351e-13,-6.494480483303004537e-01,-7.604059655999312328e-01,3.310648237062969271e-16,1.476179822730176188e-13,-1.265130465322892878e-13,-1.000000000000000000e+00
7.705132427757557245e-01,-6.374239897487301576e-01,-5.521796321315297236e-14,-6.374239897487301576e-01,-7.705132427757557245e-01,2.116393739029999551e-16,-4.268107590894005934e-14,3.503418347684154709e-14,-1.000000000000000000e+00
7.804304073383292462e-01,-6.252426563357056377e-01,1.944132455085675858e-13,-6.252426563357057487e-01,-7.804304073383293572e-01,3.310882467342731724e-16,1.515189978893483723e-13,-1.218138453838862940e-13,-1.000000000000000000e+00
7.901550123756583277e-01,-6.129070536530177860e-01,-5.521796321315958617e-14,-6.129070536530178970e-01,-7.901550123756583277e-01,2.116664884235610864e-16,-4.376048228982951873e-14,3.367622980491854004e-14,-1.000000000000000000e+00
7.996846584869744534e-01,-6.004202253260385591e-01,1.398855068296669370e-13,-6.004202253260385591e-01,-7.996846584869745644e-01,3.152536313908613027e-16,1.116750090999650026e-13,-8.424219102307130937e-14,-1.000000000000000000e+00
8.090169943749176973e-01,-5.877852522925141043e-01,-4.785556812935161181e-14,-5.877852522925141043e-01,-8.090169943749176973e-01,1.880494494412868177e-16,-3.882650058519545607e-14,2.797666198613168580e-14,-1.000000000000000000e+00
8.181497174249565685e-01,-5.750052520433737158e-01,1.235501926981747979e-13,-5.750052520433737158e-01,-8.181497174249565685e-01,3.972661461285016014e-17,1.010597122317623503e-13,-7.107451201094113683e-14,-1.000000000000000000e+00
8.270805742745704903e-01,-5.620833778521178159e-01,-4.785556812893458207e-14,-5.620833778521179269e-01,-8.270805742745704903e-01,1.880246703296211843e-16,-3.968609631213344907e-14,2.674330783062969785e-14,-1.000000000000000000e+00
8.358073613681756830e-01,-5.490228179982757917e-01,1.235501926986639169e-13,-5.490228179982757917e-01,-8.358073613681756830e-01,3.969944254071656727e-17,1.032423646561832739e-13,-6.786505604596821149e-14,-1.000000000000000000e+00
8.443279255020110785e-01,-5.358267949790027629e-01,-4.785556812873428714e-14,-5.358267949790027629e-01,-8.443279255020110785e-01,1.879992513503364361e-16,-4.050652759816388794e-14,2.548356267443045090e-14,-1.000000000000000000e+00
8.526401643539892605e-01,-5.224985647161169977e-01,1.235501926985241939e-13,-5.224985647161168867e-01,-8.526401643539892605e-01,3.967158123562609568e-17,1.053231282641810776e-13,-6.458862393892347388e-14,-1.000000000000000000e+00
8.607420270039279897e-01,-5.090414157503978521e-01,-4.785556812940054643e-14,-5.090414157503978521e-01,-8.607420270039281007e-01,1.879731962289966937e-16,-4.128698485705633410e-14,2.419866972218511007e-14,-1.000000000000000000e+00
8.686315144381209219e-01,-4.954586684325307244e-01,1.235501926976381958e-13,-4.954586684325307799e-01,-8.686315144381209219e-01,3.964303489278754517e-17,1.072999495067905468e-13,-6.124844914799026728e-14,-1.000000000000000000e+00
8.763066800438701343e-01,-4.817536741017034441e-01,-4.785556812940495143e-14,-4.817536741017034441e-01,-8.763066800438700232e-01,1.879465090037869954e-16,-4.202669795033924954e-14,2.288989699123427584e-14,-1.000000000000000000e+00
8.837656300887035687e-01,-4.679298142605545219e-01,1.235501926986689656e-13,-4.679298142605545219e-01,-8.837656300887034577e-01,3.961380669323789609e-17,1.091708774167117627e-13,-5.784782804217632905e-14,-1.000000000000000000e+00
8.910065241883889930e-01,-4.539904997395052266e-01,1.472479019855399110e-14,-4.539904997395052821e-01,-8.910065241883891041e-01,3.063192987697907391e-16,1.298081808268849923e-14,-6.957847354489591740e-15,-1.000000000000000000e+00
8.980275757606976939e-01,-4.399391698557476582e-01,-2.135094577821377217e-13,-4.399391698557476582e-01,-8.980275757606976939e-01,9.996475237259250106e-17,-1.917813591842477976e-13,9.384140250878979497e-14,-1.000000000000000000e+00
9.048270524660865233e-01,-4.257792915649307175e-01,-4.785556811878393015e-14,-4.257792915649306620e-01,-9.048270524660864123e-01,3.424123168871699578e-16,-4.344680471871659412e-14,2.006608596363599971e-14,-1.000000000000000000e+00
9.114032766356005011e-01,-4.115143586047648183e-01,-2.135094577821383023e-13,-4.115143586047648738e-01,-9.114032766356005011e-01,9.996824838164315812e-17,-1.946343577849449154e-13,8.777109618613322571e-14,-1.000000000000000000e+00
9.177546256839733685e-01,-3.971478906347983284e-01,-4.785556811827177641e-14,-3.971478906347984394e-01,-9.177546256839734795e-01,3.424469360208868207e-16,-4.405567108357345830e-14,1.869145567371707650e-14,-1.000000000000000000e+00
9.238795325113839940e-01,-3.826834323648551361e-01,-2.135094577822149922e-13,-3.826834323648551917e-01,-9.238795325113839940e-01,9.997143163311471285e-17,-1.972952754531875908e-13,8.161417058693545895e-14,-1.000000000000000000e+00
9.297764858882869854e-01,-3.681245526845877691e-01,-4.785556811880776638e-14,-3.681245526845878246e-01,-9.297764858882872074e-01,3.424821925901048713e-16,-4.462105805964230414e-14,1.729837771769718691e-14,-1.000000000000000000e+00
9.354440308298822560e-01,-3.534748437792176734e-01,-2.135094577821822766e-13,-3.534748437792176734e-01,-9.354440308298821449e-01,9.997429699708274881e-17,-1.997614862070801493e-13,7.537670187558004110e-14,-1.000000000000000000e+00
9.408807689542606489e-01,-3.387379202451935023e-01,-4.785556811881350297e-14,-3.387379202451935023e-01,-9.408807689542606489e-01,3.425180811013838244e-16,-4.514240759281091441e-14,1.588822694119166865e-14,-1.000000000000000000e+00
9.460853588276042503e-01,-3.239174181979771472e-01,-2.135094577823188442e-13,-3.239174181979771472e-01,-9.460853588276042503e-01,9.997683778701159789e-17,-2.020305562182479234e-13,6.906484570324656621e-14,-1.000000000000000000e+00
9.510565162951625240e-01,-3.090169943749199732e-01,-9.571113624306359549e-14,-3.090169943749199177e-01,-9.510565162951624130e-01,2.938983355366446766e-16,-9.111751938627905125e-14,2.929685372289955340e-14,-1.000000000000000000e+00
9.557930147983100255e-01,-2.940403252323690042e-01,7.454425034683833097e-14,-2.940403252323690597e-01,-9.557930147983101365e-01,2.193219659197499129e-16,7.118438427269495126e-14,-2.212864201920541613e-14,-1.000000000000000000e+00
9.602936856768528040e-01,-2.789911060395399711e-01,2.724086185502765321e-13,-2.789911060395399711e-01,-9.602936856768528040e-01,1.909886908623524320e-16,2.615389921716802093e-13,-7.618298701791560740e-14,-1.000000000000000000e+00
9.645574184578072918e-01,-2.638730499653397232e-01,7.454425034684027472e-14,-2.638730499653397232e-01,-9.645574184578071808e-01,2.193307105508485802e-16,7.184433421187661853e-14,-1.988177576035801838e-14,-1.000000000000000000e+00
9.685831611285914411e-01,-2.486898871650095044e-01,2.724086185504570234e-13,-2.486898871650095044e-01,-9.685831611285913301e-01,1.909885458695853512e-16,2.638029039543521702e-13,-6.793025689958698566e-14,-1.000000000000000000e+00
9.723699203976245986e-01,-2.334453638561222732e-01,7.454425034690431761e-14,-2.334453638561222732e-01,-9.723699203976244876e-01,2.193399893995399909e-16,7.243338287228636375e-14,-1.761528925364739233e-14,-1.000000000000000000e+00
9.759167619386799331e-01,-2.181432413968445727e-01,2.724086185504244088e-13,-2.181432413968445727e-01,-9.759167619386798220e-01,1.909886815519702491e-16,2.658064740498553241e-13,-5.961048809069331721e-14,-1.000000000000000000e+00
9.792228106217715222e-01,-2.027872953564842096e-01,7.454425034684027472e-14,-2.027872953564842096e-01,-9.792228106217715222e-01,2.193498076770741428e-16,7.295094898609011708e-14,-1.533141924739528965e-14,-1.000000000000000000e+00
9.822872507286489752e-01,-1.873813145859326845e-01,2.724086185506007602e-13,-1.873813145859326845e-01,-9.822872507286489752e-01,1.909891022004995030e-16,2.675477252018169287e-13,-5.123189120866912076e-14,-1.000000000000000000e+00
9.851093261547639868e-01,-1.719291002794658407e-01,7.454425034684611861e-14,-1.719291002794658685e-01,-9.851093261547640978e-01,2.193601704259839005e-16,7.339652183115513040e-14,-1.303241964281405197e-14,-1.000000000000000000e+00
9.876883405951090156e-01,-1.564344650404130288e-01,2.724086185502295791e-13,-1.564344650404130288e-01,-9.876883405951087935e-01,1.909898133994215188e-16,2.690249390303949236e-13,-4.280273492717014406e-14,-1.000000000000000000e+00
9.900236577165911767e-01,-1.409012319373471045e-01,-1.451772282984291224e-13,-1.409012319373470767e-01,-9.900236577165910656e-01,2.357614867971538131e-16,-1.437621096611004797e-13,2.022224086699052726e-14,-1.000000000000000000e+00
9.921147013145042992e-01,-1.253332335640953976e-01,-1.214795190875380598e-13,-1.253332335640953976e-01,-9.921147013145041882e-01,1.669702367952732344e-18,-1.205218260645593035e-13,1.522376440278632721e-14,-1.000000000000000000e+00
9.939609554551795956e-01,-1.097343110910454916e-01,-1.789982307711743638e-13,-1.097343110910455194e-01,-9.939609554551797066e-01,2.450113753001626201e-16,-1.779441386365812628e-13,1.939871579950006627e-14,-1.000000000000000000e+00
9.955619646030883230e-01,-9.410831331842745007e-02,-1.214795190880856429e-13,-9.410831331842742231e-02,-9.955619646030881009e-01,1.626139104652644820e-18,-1.209405417155812655e-13,1.143061372187170335e-14,-1.000000000000000000e+00
9.969173337331321827e-01,-7.845909572779223573e-02,-1.789982307713125974e-13,-7.845909572779223573e-02,-9.969173337331320717e-01,2.449993632568984344e-16,-1.784656613919798475e-13,1.379979521120747862e-14,-1.000000000000000000e+00
9.980267284282768880e-01,-6.279051952922899693e-02,-1.214795190876010172e-13,-6.279051952922899693e-02,-9.980267284282767770e-01,1.581538517050401571e-18,-1.212399063116640254e-13,7.626183697959304132e-15,-1.000000000000000000e+00
9.988898749619740114e-01,-4.710645070955725433e-02,-1.789982307711001982e-13,-4.710645070955724739e-02,-9.988898749619740114e-01,2.449867652402024794e-16,-1.788110608103401194e-13,8.187256535618661279e-15,-1.000000000000000000e+00
9.995065603657364850e-01,-3.141075907797210437e-02,-1.214795190869057594e-13,-3.141075907797210437e-02,-9.995065603657364850e-01,1.535900435742855982e-18,-1.214196245212355579e-13,3.814228764385116728e-15,-1.000000000000000000e+00
9.998766324816628082e-01,-1.570731731168252543e-02,-1.789982307711439453e-13,-1.570731731168252543e-02,-9.998766324816626971e-01,2.449735769023022903e-16,-1.789799960813323282e-13,2.566638653832071390e-15,-1.000000000000000000e+00
1.000000000000000000e+00,2.138279388899872832e-13,-1.214795190872757289e-13,2.138279388899873084e-13,-1.000000000000000000e+00,1.489223659627764881e-18,-1.214795190872757289e-13,-1.489223685603479998e-18,-1.000000000000000000e+00
9.998766324816580342e-01,1.570731731198453732e-02,-2.284643228217690366e-13,1.570731731198454079e-02,-9.998766324816580342e-01,1.669207855002532246e-16,-2.284335158674890032e-13,-3.755461805926383973e-15,-1.000000000000000000e+00
9.995065603657319331e-01,3.141075907811888973e-02,-5.521796321644379082e-14,3.141075907811888279e-02,-9.995065603657318221e-01,2.124542683866461080e-16,-5.518404313502982199e-14,-1.946787574406301182e-15,-1.000000000000000000e+00
9.988898749619774531e-01,4.710645070948463881e-02,1.944132455060393434e-13,4.710645070948463881e-02,-9.988898749619774531e-01,3.319048167008419452e-16,1.942130573523680217e-13,8.826581605847595988e-15,-1.000000000000000000e+00
9.980267284282634543e-01,6.279051952944132708e-02,-5.521796321671272928e-14,6.279051952944134096e-02,-9.980267284282634543e-01,2.124985194272618102e-16,-5.509566028721392979e-14,-3.679243799874815181e-15,-1.000000000000000000e+00
9.969173337331395102e-01,7.845909572769721452e-02,1.944132455057816320e-13,7.845909572769722840e-02,-9.969173337331395102e-01,3.319526150099792114e-16,1.938399790540282832e-13,1.492255812398893314e-14,-1.000000000000000000e+00
9.955619646030935410e-01,9.410831331837238301e-02,-5.521796321742007246e-14,9.410831331837235525e-02,-9.955619646030934300e-01,2.125434781599852548e-16,-5.495290183387960382e-14,-5.408069585947856227e-15,-1.000000000000000000e+00
